Ecclesiastes 1:1	The words of the Preacher, the son of David, king in Jerusalem.	The words of the Preacher, the son of David, king in Jerusalem.	The words of Ecclesiastes, the son of David, king of Jerusalem. 	The words of the Preacher, the son of David, king in Jerusalem.	The words of the Preacher, the son of David, king in Jerusalem.	The words of the preacher, the son of David, king of Jerusalem.	The words of the Preacher, the son of David, king in Jerusalem:	Words of a preacher, son of David, king in Jerusalem:	The words of the Preacher, the son of David, king in Jerusalem.	
Ecclesiastes 1:12	I the Preacher was king over Israel in Jerusalem.	I the Preacher was king over Israel in Jerusalem.	I Ecclesiastes was king over Israel in Jerusalem, 	I, the Preacher, was king over Israel in Jerusalem.	I the Preacher was king over Israel in Jerusalem.	I the preacher was king over Israel in Jerusalem.	I, the Preacher, was king over Israel in Jerusalem.	I, a preacher, have been king over Israel in Jerusalem.	I the Preacher was king over Israel in Jerusalem.	
Ecclesiastes 1:13	And I gave my heart to seek and search out by wisdom concerning all <i>things</i> that are done under heaven: this sore travail hath God given to the sons of man to be exercised therewith.	And I applied my heart to seek and to search out by wisdom concerning all that is done under heaven: it is a sore travail that God hath given to the sons of men to be exercised therewith.	And I proposed in my mind to seek and search out wisely concerning all things that are done under the sun. This painful occupation hath God given to the children of men, to be exercised therein. 	And I applied my heart to seek and search out by wisdom concerning all that is done under the heavens: this grievous occupation hath God given to the children of men to weary themselves therewith.	And I applied my heart to seek and to search out by wisdom concerning all that is done under heaven: it is a sore travail that God hath given to the sons of men to be exercised therewith.	And I gave my heart to seek and search out by wisdom concerning all things that are done under heaven: this grievous labor hath God given to the sons of man to be exercised with it.	I applied my heart to seek and to search out by wisdom concerning all that is done under the sky. It is a heavy burden that God has given to the sons of men to be afflicted with.	And I have given my heart to seek and to search out by wisdom concerning all that hath been done under the heavens. It is a sad travail God hath given to the sons of man to be humbled by it.	And I gave my heart to seek and search out by wisdom concerning all things that are done under heaven: this sore travail has God given to the sons of man to be exercised therewith.	
Ecclesiastes 1:14	I have seen all the works that are done under the sun; and, behold, all <i>is</i> vanity and vexation of spirit.	I have seen all the works that are done under the sun; and, behold, all is vanity and a striving after wind.	I have seen all things that are done under the sun, and behold all is vanity, and vexation of spirit. 	I have seen all the works that are done under the sun, and behold, all is vanity and pursuit of the wind.	I have seen all the works that are done under the sun; and, behold, all is vanity and a striving after wind.	I have seen all the works that are done under the sun; and behold, all is vanity and vexation of spirit.	I have seen all the works that are done under the sun; and behold, all is vanity and a chasing after wind.	I have seen all the works that have been done under the sun, and lo, the whole is vanity and vexation of spirit!	I have seen all the works that are done under the sun; and, behold, all is vanity and vexation of spirit.	
Ecclesiastes 1:15	<i>That which is</i> crooked cannot be made straight: and that which is wanting cannot be numbered.	That which is crooked cannot be made straight; and that which is wanting cannot be numbered.	The perverse are hard to be corrected, and the number of fools is infinite. 	That which is crooked cannot be made straight; and that which is wanting cannot be numbered.	That which is crooked cannot be made straight: and that which is wanting cannot be numbered.	That which is crooked cannot be made straight: and that which is wanting cannot be numbered.	That which is crooked can't be made straight; and that which is lacking can't be counted.	A crooked thing one is not able to make straight, and a lacking thing is not able to be numbered.	That which is crooked cannot be made straight: and that which is wanting cannot be numbered.	
Ecclesiastes 1:16	I communed with mine own heart, saying, Lo, I am come to great estate, and have gotten more wisdom than all <i>they</i> that have been before me in Jerusalem: yea, my heart had great experience of wisdom and knowledge.	I communed with mine own heart, saying, Lo, I have gotten me great wisdom above all that were before me in Jerusalem; yea, my heart hath had great experience of wisdom and knowledge.	I have spoken in my heart, saying: Behold I am become great, and have gone beyond all in wisdom, that were before me in Jerusalem: and my mind hath contemplated many things wisely, and I have learned. 	I communed with mine own heart, saying, Lo, I have become great and have acquired wisdom more than all they that have been before me over Jerusalem; and my heart hath seen much of wisdom and knowledge.	I communed with mine own heart, saying, Lo, I have gotten me great wisdom above all that were before me in Jerusalem: yea, my heart hath had great experience of wisdom and knowledge.	I communed with my own heart, saying, Lo, I have come to great estate, and have gained more wisdom than all they that have been before me in Jerusalem: and my heart had great experience of wisdom and knowledge.	I said to myself, |Behold, I have obtained for myself great wisdom above all who were before me in Jerusalem. Yes, my heart has had great experience of wisdom and knowledge.|	I &#8212; I spake with my heart, saying, 'I, lo, I have magnified and added wisdom above every one who hath been before me at Jerusalem, and my heart hath seen abundantly wisdom and knowledge.	I communed with my own heart, saying, See, I am come to great estate, and have gotten more wisdom than all they that have been before me in Jerusalem: yes, my heart had great experience of wisdom and knowledge.	
Ecclesiastes 1:17	And I gave my heart to know wisdom, and to know madness and folly: I perceived that this also is vexation of spirit.	And I applied my heart to know wisdom, and to know madness and folly: I perceived that this also was a striving after wind.	And I have given my heart to know prudence, and learning, and errors, and folly: and I have perceived that in these also there was labour, and vexation of spirit, 	And I applied my heart to the knowledge of wisdom, and to the knowledge of madness and folly: I perceived that this also is a striving after the wind.	And I applied my heart to know wisdom, and to know madness and folly: I perceived that this also was a striving after wind.	And I gave my heart to know wisdom, and to know madness and folly: I perceived that this also is vexation of spirit.	I applied my heart to know wisdom, and to know madness and folly. I perceived that this also was a chasing after wind.	And I give my heart to know wisdom, and to know madness and folly: I have known that even this is vexation of spirit;	And I gave my heart to know wisdom, and to know madness and folly: I perceived that this also is vexation of spirit.	
Ecclesiastes 1:18	For in much wisdom <i>is</i> much grief: and he that increaseth knowledge increaseth sorrow.	For in much wisdom is much grief; and he that increaseth knowledge increaseth sorrow.	Because In much wisdom there is much indignation: and he that addeth knowledge, addeth also labour. 	For in much wisdom is much vexation, and he that increaseth knowledge increaseth sorrow.	For in much wisdom is much grief: and he that increaseth knowledge increaseth sorrow.	For in much wisdom is much grief: and he that increaseth knowledge increaseth sorrow.	For in much wisdom is much grief; and he who increases knowledge increases sorrow.	for, in abundance of wisdom is abundance of sadness, and he who addeth knowledge addeth pain.'	For in much wisdom is much grief: and he that increases knowledge increases sorrow.	
Ecclesiastes 2:1	I said in mine heart, Go to now, I will prove thee with mirth, therefore enjoy pleasure: and, behold, this also <i>is</i> vanity.	I said in my heart, Come now, I will prove thee with mirth; therefore enjoy pleasure: and, behold, this also was vanity.	I said in my heart: I will go, and abound with delights, and enjoy good things. And I saw that this also was vanity. 	I said in my heart, Come now, I will try thee with mirth, therefore enjoy pleasure. But behold, this also is vanity.	I SAID in mine heart, Go to now, I will prove thee with mirth; therefore enjoy pleasure: and, behold, this also was vanity.	I said in my heart, Come now, I will prove thee with mirth, therefore enjoy pleasure: and behold, this also is vanity.	I said in my heart, |Come now, I will test you with mirth: therefore enjoy pleasure;| and behold, this also was vanity.	I said in my heart, 'Pray, come, I try thee with mirth, and look thou on gladness;' and lo, even it is vanity.	I said in my heart, Go to now, I will prove you with mirth, therefore enjoy pleasure: and, behold, this also is vanity.	
Ecclesiastes 2:2	I said of laughter, <i>It is</i> mad: and of mirth, What doeth it?	I said of laughter, It is mad; and of mirth, What doeth it?	Laughter I counted error: and to mirth I said: Why art thou vainly deceived? 	I said of laughter, Madness! and of mirth, What availeth it?	I said of laughter, It is mad: and of mirth, What doeth it?	I said of laughter, It is mad: and of mirth, What doeth it?	I said of laughter, |It is foolishness;| and of mirth, |What does it accomplish?|	Of laughter I said, 'Foolish!' and of mirth, 'What is this it is doing?'	I said of laughter, It is mad: and of mirth, What does it?	
Ecclesiastes 2:3	I sought in mine heart to give myself unto wine, yet acquainting mine heart with wisdom; and to lay hold on folly, till I might see what <i>was</i> that good for the sons of men, which they should do under the heaven all the days of their life.	I searched in my heart how to cheer my flesh with wine, my heart yet guiding me with wisdom, and how to lay hold on folly, till I might see what it was good for the sons of men that they should do under heaven all the days of their life.	I thought in my heart, to withdraw my flesh from wine, that I might turn my mind to wisdom, and might avoid folly, till I might see what was profitable for the children of men: and what they ought to do under the sun, all the days of their life. 	I searched in my heart how to cherish my flesh with wine, while practising my heart with wisdom; and how to lay hold on folly, till I should see what was that good for the children of men which they should do under the heavens all the days of their life.	I searched in mine heart how to cheer my flesh with wine, mine heart yet guiding me with wisdom, and how to lay hold on folly, till I might see what it was good for the sons of men that they should do under the heaven all the days of their life.	I sought in my heart, to give myself to wine, yet acquainting my heart with wisdom; and to lay hold on folly, till I might see what was that good for the sons of men, which they should do under the heaven all the days of their life.	I searched in my heart how to cheer my flesh with wine, my heart yet guiding me with wisdom, and how to lay hold of folly, until I might see what it was good for the sons of men that they should do under heaven all the days of their lives.	I have sought in my heart to draw out with wine my appetite, (and my heart leading in wisdom), and to take hold on folly till that I see where is this &#8212; the good to the sons of man of that which they do under the heavens, the number of the days of their lives.	I sought in my heart to give myself to wine, yet acquainting my heart with wisdom; and to lay hold on folly, till I might see what was that good for the sons of men, which they should do under the heaven all the days of their life.	
Ecclesiastes 2:4	I made me great works; I builded me houses; I planted me vineyards:	I made me great works; I builded me houses; I planted me vineyards;	I made me great works, I built me houses, and planted vineyards, 	I made me great works; I builded me houses; I planted me vineyards;	I made me great works; I builded me houses; I planted me vineyards;	I made me great works; I built me houses; I planted me vineyards:	I made myself great works. I built myself houses. I planted myself vineyards.	I made great my works, I builded for me houses, I planted for me vineyards.	I made me great works; I built me houses; I planted me vineyards:	
Ecclesiastes 2:5	I made me gardens and orchards, and I planted trees in them of all <i>kind of</i> fruits:	I made me gardens and parks, and I planted trees in them of all kinds of fruit;	I made gardens, and orchards, and set them with trees of all kinds, 	I made me gardens and parks, and I planted trees in them of every kind of fruit;	I made me gardens and parks, and I planted trees in them of all kinds of fruit:	I made me gardens and orchards, and I planted trees in them of all kind of fruits:	I made myself gardens and parks, and I planted trees in them of all kinds of fruit.	I made for me gardens and paradises, and I planted in them trees of every fruit.	I made me gardens and orchards, and I planted trees in them of all kind of fruits:	
Ecclesiastes 2:6	I made me pools of water, to water therewith the wood that bringeth forth trees:	I made me pools of water, to water therefrom the forest where trees were reared;	And I made me ponds of water, to water therewith the wood of the young trees, 	I made me ponds of water, to water therewith the wood, where the trees are reared.	I made me pools of water, to water therefrom the forest where trees were reared:	I made me pools of water, to water with them the wood that bringeth forth trees:	I made myself pools of water, to water from it the forest where trees were reared.	I made for me pools of water, to water from them a forest shooting forth trees.	I made me pools of water, to water therewith the wood that brings forth trees:	
Ecclesiastes 2:7	I got <i>me</i> servants and maidens, and had servants born in my house; also I had great possessions of great and small cattle above all that were in Jerusalem before me:	I bought men-servants and maid-servants, and had servants born in my house; also I had great possessions of herds and flocks, above all that were before me in Jerusalem;	I got me menservants, and maidservants, and had a great family: and herds of oxen, and great flocks of sheep, above all that were before me in Jerusalem: 	I acquired servants and maidens, and had servants born in my house; also I had great possessions of herds and flocks, above all that had been in Jerusalem before me.	I bought menservants and maidens, and had servants born in my house; also I had great possessions of herds and flocks, above all that were before me in Jerusalem:	I procured me servants and maidens, and had servants born in my house; also I had great possessions of great and small cattle above all that were in Jerusalem before me:	I bought male servants and female servants, and had servants born in my house. I also had great possessions of herds and flocks, above all who were before me in Jerusalem;	I got men-servants, and maid-servants, and sons of the house were to me; also, I had much substance &#8212; herd and flock &#8212; above all who had been before me in Jerusalem.	I got me servants and maidens, and had servants born in my house; also I had great possessions of great and small cattle above all that were in Jerusalem before me:	
Ecclesiastes 2:8	I gathered me also silver and gold, and the peculiar treasure of kings and of the provinces: I gat me men singers and women singers, and the delights of the sons of men, <i>as</i> musical instruments, and that of all sorts.	I gathered me also silver and gold, and the treasure of kings and of the provinces; I gat me men-singers and women-singers, and the delights of the sons of men, musical instruments, and that of all sorts.	I heaped together for myself silver and gold, and the wealth of kings, and provinces: I made me singing men, and singing women, and the delights of the sons of men, cups and vessels to serve to pour out wine: 	I gathered me also silver and gold, and the peculiar treasure of kings and of the provinces; I got me men-singers and women-singers, and the delights of the children of men, a wife and concubines.	I gathered me also silver and gold, and the peculiar treasure of kings and of the provinces: I gat me men singers and women singers, and the delights of the sons of men, concubines very many.	I gathered me also silver and gold, and the peculiar treasure of kings, and of the provinces: I procured me men-singers and women-singers, and the delights of the sons of men, as musical instruments, and of all sorts.	I also gathered silver and gold for myself, and the treasure of kings and of the provinces. I got myself male and female singers, and the delights of the sons of men&#8212;musical instruments, and that of all sorts.	I gathered for me also silver and gold, and the peculiar treasure of kings and of the provinces. I prepared for me men-singers and women-singers, and the luxuries of the sons of man &#8212; a wife and wives.	I gathered me also silver and gold, and the peculiar treasure of kings and of the provinces: I got me men singers and women singers, and the delights of the sons of men, as musical instruments, and that of all sorts.	
Ecclesiastes 2:9	So I was great, and increased more than all that were before me in Jerusalem: also my wisdom remained with me.	So I was great, and increased more than all that were before me in Jerusalem: also my wisdom remained with me.	And I surpassed in riches all that were before me in Jerusalem: my wisdom also remained with me. 	And I became great, and increased more than all that had been before me in Jerusalem: also my wisdom remained with me.	So I was great, and increased more than all that were before me in Jerusalem: also my wisdom remained with me.	So I was great, and increased more than all that were before me in Jerusalem: also my wisdom remained with me.	So I was great, and increased more than all who were before me in Jerusalem. My wisdom also remained with me.	And I became great, and increased above every one who had been before me in Jerusalem; also, my wisdom stood with me.	So I was great, and increased more than all that were before me in Jerusalem: also my wisdom remained with me.	
Ecclesiastes 2:10	And whatsoever mine eyes desired I kept not from them, I withheld not my heart from any joy; for my heart rejoiced in all my labour: and this was my portion of all my labour.	And whatsoever mine eyes desired I kept not from them; I withheld not my heart from any joy; for my heart rejoiced because of all my labor; and this was my portion from all my labor.	And whatsoever my eyes desired, I refused them not: and I withheld not my heart from enjoying every pleasure, and delighting itself in the things which I had prepared: and esteemed this my portion, to make use of my own labour. 	And whatsoever mine eyes desired I kept not from them: I withheld not my heart from any joy; for my heart rejoiced in all my labour, and this was my portion from all my labour.	And whatsoever mine eyes desired I kept not from them: I withheld not my heart from any joy, for my heart rejoiced because of all my labour; and this was my portion from all my labour.	And whatever my eyes desired I kept not from them, I withheld not my heart from any joy; for my heart rejoiced in all my labor: and this was my portion of all my labor.	Whatever my eyes desired, I didn't keep from them. I didn't withhold my heart from any joy, for my heart rejoiced because of all my labor, and this was my portion from all my labor.	And all that mine eyes asked I kept not back from them; I withheld not my heart from any joy, for my heart rejoiced because of all my labour, and this hath been my portion, from all my labour,	And whatever my eyes desired I kept not from them, I withheld not my heart from any joy; for my heart rejoiced in all my labor: and this was my portion of all my labor.	
Ecclesiastes 2:11	Then I looked on all the works that my hands had wrought, and on the labour that I had laboured to do: and, behold, all <i>was</i> vanity and vexation of spirit, and <i>there was</i> no profit under the sun.	Then I looked on all the works that my hands had wrought, and on the labor that I had labored to do; and, behold, all was vanity and a striving after wind, and there was no profit under the sun.	And when I turned myself to all the works which my hands had wrought, and to the labours wherein I had laboured in vain, I saw in all things vanity, and vexation of mind, and that nothing was lasting under the sun. 	Then I looked on all the works that my hands had wrought, and on the labour that it had cost me to do them; and behold, all was vanity and pursuit of the wind, and there was no profit under the sun.	Then I looked on all the works that my hands had wrought, and on the labour that I had laboured to do: and, behold, all was vanity and a striving after wind, and there was no profit under the sun.	Then I looked on all the works that my hands had wrought, and on the labor that I had labored to do: and behold, all was vanity and vexation of spirit, and there was no profit under the sun.	Then I looked at all the works that my hands had worked, and at the labor that I had labored to do; and behold, all was vanity and a chasing after wind, and there was no profit under the sun.	and I have looked on all my works that my hands have done, and on the labour that I have laboured to do, and lo, the whole is vanity and vexation of spirit, and there is no advantage under the sun!	Then I looked on all the works that my hands had worked, and on the labor that I had labored to do: and, behold, all was vanity and vexation of spirit, and there was no profit under the sun.	
Ecclesiastes 2:12	And I turned myself to behold wisdom, and madness, and folly: for what <i>can</i> the man <i>do</i> that cometh after the king? <i>even</i> that which hath been already done.	And I turned myself to behold wisdom, and madness, and folly: for what can the man do that cometh after the king? even that which hath been done long ago.	I passed further to behold wisdom, and errors and folly, (What is man, said I, that he can follow the King his maker?) 	And I turned myself to behold wisdom, and madness, and folly; for what shall the man do that cometh after the king? that which hath already been done.	And I turned myself to behold wisdom, and madness and folly; for what can the man do that cometh after the king? even that which hath been already done.	And I turned myself to behold wisdom, and madness, and folly: for what can the man do that cometh after the king? even that which hath been already done.	I turned myself to consider wisdom, madness, and folly: for what can the king's successor do? Just that which has been done long ago.	And I turned to see wisdom, and madness, and folly, but what is the man who cometh after the king? that which is already &#8212; they have done it!	And I turned myself to behold wisdom, and madness, and folly: for what can the man do that comes after the king? even that which has been already done.	
Ecclesiastes 2:13	Then I saw that wisdom excelleth folly, as far as light excelleth darkness.	Then I saw that wisdom excelleth folly, as far as light excelleth darkness.	And I saw that wisdom excelled folly, as much as light differeth from darkness. 	And I saw that wisdom excelleth folly, as light excelleth darkness.	Then I saw that wisdom excelleth folly, as far as light excelleth darkness.	Then I saw that wisdom excelleth folly, as far as light excelleth darkness.	Then I saw that wisdom excels folly, as far as light excels darkness.	And I saw that there is an advantage to wisdom above folly, like the advantage of the light above the darkness.	Then I saw that wisdom excels folly, as far as light excels darkness.	
Ecclesiastes 2:14	The wise man's eyes <i>are</i> in his head; but the fool walketh in darkness: and I myself perceived also that one event happeneth to them all.	The wise man's eyes are in his head, and the fool walketh in darkness: and yet I perceived that one event happeneth to them all.	The eyes of a wise man are in his head: the fool walketh in darkness: and I learned that they were to die both alike. 	The wise man's eyes are in his head, and the fool walketh in darkness; but I myself also perceived that one event happeneth to them all.	The wise man's eyes are in his head, and the fool walketh in darkness: and yet I perceived that one event happeneth to them all.	The wise man's eyes are in his head; but the fool walketh in darkness: and I myself perceived also that one event happeneth to them all.	The wise man's eyes are in his head, and the fool walks in darkness&#8212;and yet I perceived that one event happens to them all.	The wise! &#8212; his eyes are in his head, and the fool in darkness is walking, and I also knew that one event happeneth with them all;	The wise man's eyes are in his head; but the fool walks in darkness: and I myself perceived also that one event happens to them all.	
Ecclesiastes 2:15	Then said I in my heart, As it happeneth to the fool, so it happeneth even to me; and why was I then more wise? Then I said in my heart, that this also <i>is</i> vanity.	Then said I in my heart, As it happeneth to the fool, so will it happen even to me; and why was I then more wise? Then said I in my heart, that this also is vanity.	And I said in my heart: If the death of the fool and mine shall be one, what doth it avail me, that I have applied myself more to the study of wisdom? And speaking with my own mind, I perceived that this also was vanity. 	And I said in my heart, As it happeneth to the fool so will it happen even to me; and why was I then so wise? Then I said in my heart that this also is vanity.	Then said I in my heart, As it happeneth to the fool, so will it happen even to me; and why was I then more wise? Then I said in my heart, that this also was vanity.	Then said I in my heart, As it happeneth to the fool, so it happeneth even to me; and why was I then more wise? Then I said in my heart, that this also is vanity.	Then I said in my heart, |As it happens to the fool, so will it happen even to me; and why was I then more wise?| Then I said in my heart that this also is vanity.	and I said in my heart, 'As it happeneth with the fool, it happeneth also with me, and why am I then more wise?' And I spake in my heart, that also this is vanity:	Then said I in my heart, As it happens to the fool, so it happens even to me; and why was I then more wise? Then I said in my heart, that this also is vanity.	
Ecclesiastes 2:16	For <i>there is</i> no remembrance of the wise more than of the fool for ever; seeing that which now <i>is</i> in the days to come shall all be forgotten. And how dieth the wise <i>man</i>? as the fool.	For of the wise man, even as of the fool, there is no remembrance for ever; seeing that in the days to come all will have been long forgotten. And how doth the wise man die even as the fool!	For there shall be no remembrance of the wise no more than of the fool for ever, and the times to come shall cover all things together with oblivion: the learned dieth in like manner as the unlearned. 	For there shall be no remembrance of the wise more than of the fool for ever; because everything is already forgotten in the days which come. And how dieth the wise even as the fool?	For of the wise man, even as of the fool, there is no remembrance for ever; seeing that in the days to come all will have been already forgotten. And how doth the wise man die even as the fool!	For there is no remembrance of the wise more than of the fool for ever; seeing that which now is in the days to come shall all be forgotten. And how dieth the wise man? as the fool.	For of the wise man, even as of the fool, there is no memory for ever, since in the days to come all will have been long forgotten. Indeed, the wise man must die just like the fool!	That there is no remembrance to the wise &#8212; with the fool &#8212; to the age, for that which is already, in the days that are coming is all forgotten, and how dieth the wise? with the fool!	For there is no remembrance of the wise more than of the fool for ever; seeing that which now is in the days to come shall all be forgotten.  And how dies the wise man? as the fool.	
